X,Y,Pressure,Time
630.628803369243,200.090462965789,0.1460318,0
630.628803369243,200.090462965789,0.2295482,1
630.628803369243,200.090462965789,0.2547009,1
627.066194647053,195.001440473647,0.2515263,16
630.628803369243,200.090462965789,0.2547009,16
630.628803369243,200.090462965789,0.2547009,16
627.066194647053,195.001440473647,0.2515263,17
623.128574480422,191.547233497116,0.2871795,32
625.144260994293,193.182049012726,0.2515263,32
625.144260994293,193.182049012726,0.2515263,32
623.128574480422,191.547233497116,0.2871795,33
618.862819299905,189.806946012757,0.3399267,47
621.019135105441,190.439777825251,0.3211233,47
621.019135105441,190.439777825251,0.3211233,47
618.862819299905,189.806946012757,0.3399267,48
616.565874202704,189.806946012757,0.3501832,63
614.128299813837,190.25520187994,0.3582418,64
607.987487411115,197.453663747063,0.3555556,79
611.128208258309,192.892001098666,0.3582418,79
611.128208258309,192.892001098666,0.3582418,79
607.987487411115,197.453663747063,0.3555556,80
603.018585772271,209.556572161016,0.3538462,94
605.128025147252,203.54466994232,0.3538462,94
605.128025147252,203.54466994232,0.3538462,94
603.018585772271,209.556572161016,0.3538462,95
602.127933591723,214.461018707846,0.3538462,110
602.127933591723,214.461018707846,0.3538462,110
602.127933591723,217.730649739067,0.353602,110
602.127933591723,217.730649739067,0.353602,111
602.127933591723,219.919193090609,0.3518926,126
603.206091494491,222.002264473403,0.3496948,126
604.940519425031,224.006231879635,0.3445666,141
604.940519425031,224.006231879635,0.3445666,141
607.378093813898,225.561943418683,0.3367521,141
607.378093813898,225.561943418683,0.3367521,142
610.284432508316,225.904727317118,0.3274725,157
610.284432508316,225.904727317118,0.3274725,157
613.612659077731,225.904727317118,0.3211233,157
613.612659077731,225.904727317118,0.3211233,158
617.175267799921,224.006231879635,0.3111111,172
617.175267799921,224.006231879635,0.3111111,172
620.691000091556,220.367448957793,0.2989011,172
620.691000091556,220.367448957793,0.2989011,173
623.456709494308,216.464986114078,0.2866911,188
623.456709494308,216.464986114078,0.2866911,188
625.566148869289,212.087899410993,0.2747253,188
625.566148869289,212.087899410993,0.2747253,189
626.972441785943,207.816284676656,0.2747253,204
626.972441785943,207.816284676656,0.2747253,204
627.48808252205,204.625757621998,0.2796093,204
627.48808252205,204.625757621998,0.2796093,205
627.863093966491,200.090462965789,0.3059829,219
627.863093966491,201.804382457961,0.2903541,219
627.863093966491,201.804382457961,0.2903541,219
627.863093966491,200.090462965789,0.3059829,220
627.863093966491,199.167583239235,0.3330891,235
627.863093966491,199.167583239235,0.3330891,235
627.863093966491,199.273055207984,0.3264957,235
627.863093966491,199.273055207984,0.3264957,235
627.863093966491,199.167583239235,0.3330891,236
627.863093966491,199.167583239235,0.3330891,236
627.863093966491,199.826783043916,0.3274725,250
627.863093966491,199.826783043916,0.3274725,250
627.863093966491,201.461598559526,0.3238095,250
627.863093966491,201.461598559526,0.3238095,251
627.863093966491,203.729245887631,0.3233211,266
627.863093966491,203.729245887631,0.3233211,266
627.863093966491,206.445149082919,0.3233211,266
627.863093966491,206.445149082919,0.3233211,267
628.097476119266,209.556572161016,0.3238095,282
628.097476119266,209.556572161016,0.3238095,282
628.800622577593,212.457051301614,0.3238095,282
628.800622577593,212.457051301614,0.3238095,283
629.785027619251,215.093850520341,0.3211233,297
629.785027619251,215.093850520341,0.3211233,297
631.003814813684,217.282393871883,0.3050061,297
631.003814813684,217.282393871883,0.3050061,298
632.410107730339,218.732633442183,0.2737485,313
632.410107730339,218.732633442183,0.2737485,313
633.863277077548,219.365465254677,0.2324786,313
633.863277077548,219.365465254677,0.2324786,314
635.175817133091,219.365465254677,0.1912088,329
635.175817133091,219.365465254677,0.1912088,329
636.34772789697,218.548057496872,0.1623932,329
636.34772789697,218.548057496872,0.1623932,330
637.285256508072,216.359514145329,0.1274725,344
637.285256508072,216.359514145329,0.1274725,344
637.800897244179,213.27445905942,0.09230769,344
637.800897244179,213.27445905942,0.09230769,345
637.894650105289,200.354142887661,0.03492064,360
637.894650105289,204.731229590747,0.03687424,360
637.894650105289,208.897372356334,0.05811966,360
637.894650105289,208.897372356334,0.05811966,360
637.894650105289,200.354142887661,0.03492064,361
637.894650105289,204.731229590747,0.03687424,361
637.894650105289,190.914401684622,0.08351649,375
637.894650105289,193.445728934599,0.06227106,375
637.894650105289,196.267104098636,0.03492064,375
637.894650105289,196.267104098636,0.03492064,375
638.17590868862,189.622370067446,0.0979243,375
637.894650105289,190.914401684622,0.08351649,391
637.894650105289,193.445728934599,0.06227106,391
638.17590868862,189.622370067446,0.0979243,391
639.113437299722,189.622370067446,0.0979243,407
640.19159520249,189.991521958068,0.0979243,408
641.83227027192,192.733793145543,0.1072039,422
641.83227027192,192.733793145543,0.1072039,422
643.75420392468,197.348191778314,0.1274725,422
643.75420392468,197.348191778314,0.1274725,423
645.863643299661,203.465565965758,0.143834,438
647.973082674642,210.268507950072,0.1521368,439
649.895016327403,216.649562059389,0.1557998,454
651.535691396832,221.55400860622,0.156044,455
652.660725730155,224.744535660878,0.1562882,469
652.660725730155,224.744535660878,0.1562882,469
653.363872188482,226.827607043672,0.158486,469
653.363872188482,226.827607043672,0.158486,470
653.832636494034,228.19874263741,0.158486,485
653.832636494034,228.19874263741,0.158486,485
654.34827723014,229.279830317087,0.1587302,485
654.34827723014,229.279830317087,0.1587302,486
654.676412244026,229.912662129582,0.1587302,500
654.676412244026,229.912662129582,0.1587302,500
654.863917966247,230.097238074892,0.1587302,500
654.863917966247,230.097238074892,0.1587302,501
654.863917966247,228.462422559282,0.2058608,516
654.863917966247,230.097238074892,0.1716728,516
654.863917966247,230.097238074892,0.1716728,516
654.863917966247,228.462422559282,0.2058608,517
654.25452436903,222.002264473403,0.2124542,532
654.535782952361,225.904727317118,0.2124542,532
654.535782952361,225.904727317118,0.2124542,532
654.25452436903,222.002264473403,0.2124542,533
654.25452436903,216.54409009064,0.2153846,547
655.379558702353,211.270491653188,0.2156288,548
657.301492355113,206.550621051668,0.2156288,548
660.020325327311,202.621790215766,0.207326,563
662.926664021729,200.354142887661,0.2041514,579
666.161137730033,198.455647450179,0.2041514,579
669.911252174444,197.18998382519,0.2041514,579
673.567613757744,197.084511856441,0.2058608,594
