X,Y,Pressure,Time
592.424512466811,235.107156590472,0.232967,0
592.424512466811,235.107156590472,0.3067155,1
577.470931119724,237.82305978576,0.5225886,15
581.17416913358,236.003668324839,0.5103785,15
584.643024994659,234.658900723289,0.5006105,15
592.424512466811,235.107156590472,0.3516484,15
592.424512466811,235.107156590472,0.3516484,15
592.424512466811,235.107156590472,0.4087912,15
592.424512466811,235.107156590472,0.4551893,15
592.424512466811,235.107156590472,0.4866911,15
592.424512466811,235.107156590472,0.4087912,16
592.424512466811,235.107156590472,0.4551893,31
592.424512466811,235.107156590472,0.4866911,32
584.643024994659,234.658900723289,0.5006105,46
577.470931119724,237.82305978576,0.5225886,47
581.17416913358,236.003668324839,0.5103785,47
570.76760155034,242.279250465407,0.5394384,62
573.814569536424,240.117075106052,0.5333334,62
573.814569536424,240.117075106052,0.5333334,62
570.76760155034,242.279250465407,0.5394384,63
567.251869258705,246.39265724662,0.5394384,77
568.564409314249,244.46779381695,0.5394384,77
568.564409314249,244.46779381695,0.5394384,77
567.251869258705,246.39265724662,0.5394384,78
566.923734244819,247.922000793481,0.5233212,93
566.923734244819,247.922000793481,0.5233212,93
566.923734244819,249.18766441847,0.4913309,93
567.955015717032,250.031440168462,0.4588523,93
569.783196508683,250.295120090335,0.4271062,93
566.923734244819,249.18766441847,0.4913309,109
567.955015717032,250.031440168462,0.4588523,109
569.783196508683,250.295120090335,0.4271062,109
572.080141605884,250.295120090335,0.4080586,124
572.080141605884,250.295120090335,0.4080586,124
574.705221716971,249.925968199713,0.4053724,124
574.705221716971,249.925968199713,0.4053724,125
577.564683980834,248.554832605976,0.4053724,156
580.471022675253,246.735441145054,0.4102564,156
583.236732078005,244.46779381695,0.4192918,156
585.627430036317,242.200146488845,0.4358974,171
585.627430036317,242.200146488845,0.4358974,171
587.361857966857,240.117075106052,0.4537241,171
588.58064516129,238.455891598254,0.4774115,171
589.096285897397,236.636500137333,0.5831502,171
589.096285897397,236.636500137333,0.6136752,171
589.096285897397,236.741972106082,0.5460318,171
589.096285897397,237.374803918577,0.5069597,171
587.361857966857,240.117075106052,0.4537241,172
588.58064516129,238.455891598254,0.4774115,172
589.096285897397,237.374803918577,0.5069597,187
589.096285897397,236.741972106082,0.5460318,188
589.096285897397,236.636500137333,0.5831502,202
589.096285897397,236.636500137333,0.6136752,203
587.643116550188,238.11310769982,0.6288157,218
588.58064516129,236.926548051393,0.6288157,218
588.58064516129,236.926548051393,0.6288157,218
587.643116550188,238.11310769982,0.6288157,219
585.252418591876,245.021521652882,0.617094,234
585.861812189093,242.384722434156,0.6214896,234
586.75246436964,240.011603137303,0.6241758,234
586.75246436964,240.011603137303,0.6241758,234
585.252418591876,245.021521652882,0.617094,249
585.861812189093,242.384722434156,0.6214896,249
585.252418591876,247.55284890286,0.6043956,265
585.252418591876,247.55284890286,0.6043956,265
585.627430036317,249.925968199713,0.5843712,265
587.549363689077,251.824463637196,0.5655678,265
590.40882595294,253.195599230934,0.554823,265
585.627430036317,249.925968199713,0.5843712,281
587.549363689077,251.824463637196,0.5655678,281
590.40882595294,253.195599230934,0.554823,281
593.830805383465,253.828431043428,0.5467644,296
593.830805383465,253.828431043428,0.5467644,296
598.659077730644,253.828431043428,0.5431014,296
604.659260841701,253.195599230934,0.5431014,296
611.69072542497,250.743375957518,0.5448108,296
619.097201452681,247.473744926298,0.5452992,296
598.659077730644,253.828431043428,0.5431014,297
604.659260841701,253.195599230934,0.5431014,312
611.69072542497,250.743375957518,0.5448108,327
619.097201452681,247.473744926298,0.5452992,327
626.081789605396,243.281234168523,0.5470086,343
632.316354869228,238.561363567003,0.5506716,344
632.316354869228,238.561363567003,0.5506716,344
637.566515091403,233.366869106113,0.5506716,344
637.566515091403,233.366869106113,0.5506716,344
641.644764549699,228.726102481155,0.5489622,344
644.269844660787,224.929111606189,0.5470086,344
645.676137577441,222.292312387463,0.5470086,344
641.644764549699,228.726102481155,0.5489622,359
644.269844660787,224.929111606189,0.5470086,360
645.676137577441,222.292312387463,0.5470086,360
646.191778313547,218.917209387494,0.5724054,374
646.191778313547,220.472920926542,0.5506716,374
646.191778313547,220.472920926542,0.5506716,374
646.191778313547,218.917209387494,0.5724054,375
646.191778313547,217.466969817194,0.604884,390
643.847956785791,215.463002410962,0.6605617,391
645.58238471633,216.095834223457,0.6317461,391
630.019409772027,219.81372112186,0.7081807,406
634.753929258095,216.728666035951,0.6991453,406
638.410290841395,215.357530442213,0.6910867,406
641.504135258034,215.357530442213,0.6813187,406
641.504135258034,215.357530442213,0.6813187,406
630.019409772027,219.81372112186,0.7081807,421
634.753929258095,216.728666035951,0.6991453,421
638.410290841395,215.357530442213,0.6910867,421
619.472212897122,231.283797723319,0.7250305,437
624.628620258187,224.82363963744,0.7184371,437
624.628620258187,224.82363963744,0.7184371,437
619.472212897122,231.283797723319,0.7250305,438
613.143894772179,242.569298379467,0.7272283,452
615.34708700827,237.480275887326,0.7272283,452
615.34708700827,237.480275887326,0.7272283,452
613.143894772179,242.569298379467,0.7272283,453
612.440748313852,246.023505355998,0.7269841,468
612.440748313852,246.023505355998,0.7269841,468
612.440748313852,248.370256660665,0.7172161,468
613.51890621662,250.743375957518,0.7023199,468
615.675222022156,253.195599230934,0.6857143,468
612.440748313852,248.370256660665,0.7172161,484
613.51890621662,250.743375957518,0.7023199,484
615.675222022156,253.195599230934,0.6857143,484
618.675313577685,255.305038605914,0.6669109,499
618.675313577685,255.305038605914,0.6669109,499
622.331675160985,256.465230262154,0.6490843,499
622.331675160985,256.465230262154,0.6490843,500
626.550553910947,256.755278176214,0.6300367,515
626.550553910947,256.755278176214,0.6300367,515
631.003814813684,256.755278176214,0.620757,515
631.003814813684,256.755278176214,0.620757,516
635.363322855312,255.647822504349,0.6148962,531
635.363322855312,255.647822504349,0.6148962,531
639.300943021943,254.118478957488,0.6114774,531
