X,Y,Pressure,Time
570.064455092013,294.039619129002,0.1807082,0
570.064455092013,294.039619129002,0.2246642,1
570.064455092013,294.039619129002,0.234188,1
570.064455092013,294.039619129002,0.2698413,1
570.064455092013,294.039619129002,0.3435898,16
570.064455092013,294.039619129002,0.3435898,16
570.064455092013,294.039619129002,0.414652,16
570.064455092013,294.039619129002,0.414652,17
570.064455092013,294.039619129002,0.4791209,32
570.298837244789,290.769988097781,0.5272284,33
570.064455092013,292.589379558702,0.5611722,47
570.298837244789,290.769988097781,0.5543346,47
570.298837244789,290.769988097781,0.5543346,47
570.064455092013,292.589379558702,0.5611722,48
565.939329203162,302.952000488296,0.5760684,63
568.564409314249,296.676418347728,0.5636142,63
568.564409314249,296.676418347728,0.5636142,63
565.939329203162,302.952000488296,0.5760684,64
559.376628925443,317.586236152226,0.6280831,79
562.704855494858,310.124094363231,0.6041514,79
562.704855494858,310.124094363231,0.6041514,79
559.376628925443,317.586236152226,0.6280831,80
554.829615161595,328.871736808374,0.6515263,94
556.51716666158,324.151866206854,0.6429793,94
556.51716666158,324.151866206854,0.6429793,94
554.829615161595,328.871736808374,0.6515263,95
553.095187231056,335.516470839564,0.6566545,111
553.704580828272,332.695095675527,0.6561661,111
551.970152897732,343.875124362926,0.6571429,125
552.204535050508,342.055732902005,0.6571429,125
552.485793633839,340.051765495773,0.6571429,125
552.813928647725,337.784118167669,0.6568987,125
552.813928647725,337.784118167669,0.6568987,125
552.485793633839,340.051765495773,0.6571429,126
552.204535050508,342.055732902005,0.6571429,141
551.970152897732,343.875124362926,0.6571429,142
551.876400036622,344.877108066042,0.6576313,157
551.876400036622,345.325363933226,0.6578755,158
551.876400036622,345.430835901975,0.6615385,172
551.876400036622,345.430835901975,0.6615385,172
551.876400036622,345.430835901975,0.6793651,172
551.876400036622,345.430835901975,0.6793651,173
551.876400036622,336.861238441115,0.76337,188
551.876400036622,342.055732902005,0.7545788,188
551.876400036622,344.692532120731,0.7162393,188
551.876400036622,344.692532120731,0.7162393,188
551.876400036622,336.861238441115,0.76337,189
551.876400036622,342.055732902005,0.7545788,189
553.610827967162,328.502584917753,0.76337,204
553.610827967162,328.502584917753,0.76337,204
556.32966093936,318.50911587878,0.758486,204
559.89226966155,308.146494949187,0.7509158,204
563.408001953185,299.313217566454,0.737729,204
556.32966093936,318.50911587878,0.758486,219
559.89226966155,308.146494949187,0.7509158,219
563.408001953185,299.313217566454,0.737729,219
565.939329203162,293.485891293069,0.7272283,235
565.939329203162,293.485891293069,0.7272283,235
567.345622119816,289.583428449355,0.7206349,235
567.345622119816,289.583428449355,0.7206349,236
567.955015717032,287.31578112125,0.7206349,250
568.142521439253,285.839173558763,0.7267399,251
568.376903592029,284.309830011902,0.7418804,266
568.376903592029,284.309830011902,0.7418804,266
568.564409314249,282.859590441603,0.7570208,266
568.564409314249,282.859590441603,0.7570208,267
568.75191503647,281.673030793176,0.7721612,282
568.75191503647,281.673030793176,0.7721612,282
568.84566789758,280.855623035371,0.7868132,282
568.84566789758,280.855623035371,0.7868132,283
568.986297189245,280.486471144749,0.7980464,297
568.986297189245,280.486471144749,0.7980464,297
569.080050050356,280.407367168188,0.8031746,297
569.080050050356,280.407367168188,0.8031746,298
569.267555772576,280.407367168188,0.8031746,313
569.267555772576,280.407367168188,0.8031746,313
569.689443647572,280.750151066622,0.7956044,313
569.689443647572,280.750151066622,0.7956044,314
570.486342967009,282.226758629109,0.7826618,329
571.986388744774,285.311813715018,0.781685,330
574.23645741142,290.40083620716,0.781685,344
574.23645741142,290.40083620716,0.781685,344
576.955290383618,297.309250160222,0.7846154,344
579.861629078036,304.955967894528,0.7899878,344
576.955290383618,297.309250160222,0.7846154,345
579.861629078036,304.955967894528,0.7899878,345
582.486709189123,312.418109683523,0.7965812,360
582.486709189123,312.418109683523,0.7965812,360
